title,text,source,label
Government launches rural healthcare mission,The government launched a rural healthcare mission across several districts to improve access to primary medical services.,the hindu,real
NASA completes successful satellite launch,NASA confirmed the successful launch of a new weather satellite after a short weather delay.,reuters,real
Reserve Bank keeps rates unchanged,The central bank kept benchmark interest rates unchanged after reviewing inflation and growth conditions.,economic times,real
Parliament passes digital services bill,Parliament passed a new bill aimed at improving digital public services and citizen access.,ndtv,real
WHO issues seasonal virus advisory,The World Health Organization released updated guidance on seasonal viral infections and public safety measures.,bbc,real
Railway ministry announces summer special trains,The railway ministry announced additional special trains to manage summer travel demand.,indian express,real
ISRO schedules Earth observation mission,ISRO officials said the launch window for the Earth observation mission remains on schedule after technical checks.,times of india,real
Supreme Court issues safety guidelines,The Supreme Court issued fresh public safety guidelines in response to recent infrastructure concerns.,the guardian,real
State opens engineering colleges,The state government opened new engineering colleges in remote areas to expand higher education access.,hindustan times,real
Scientists publish climate report,Researchers published a climate study describing polar ice loss and long-term sea level risks.,associated press,real
Miracle cure found in kitchen spice,A miracle cure for cancer was found in a kitchen spice overnight and doctors were left shocked.,unknown blog,fake
Aliens land in Delhi and sign agreement,Aliens landed in Delhi and signed a peace agreement with top officials according to viral social media posts.,viral portal,fake
Secret temple water cures all diseases,Secret temple water instantly cures all heart diseases and medical science is hiding the truth.,mystic now,fake
Government hides rain control machine,The government is hiding a machine that can control rain earthquakes and storms worldwide.,rumor daily,fake
One fruit regrows organs in two days,One fruit can regrow damaged organs in 48 hours with 100 percent guaranteed success.,health blast,fake
Moon is artificial says celebrity,A celebrity claimed the moon is an artificial object built in a lab by a secret group.,buzz flash,fake
Doctors hate this leaf because it cures every disease,Doctors hate this one leaf because it cures every disease instantly without any side effects.,click post,fake
Ancient device predicts all disasters,An ancient device has been discovered that can predict every future disaster exactly before it happens.,myth update,fake
Magic oil makes people live 180 years,Magic oil makes humans live beyond 180 years and pharmaceutical companies do not want you to know.,trend page,fake
Humans can survive months without sleep,Scientists confirmed humans can safely survive without sleep for several months according to a secret study.,strange feed,fake
Researchers Publish Medical Study,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,NDTV,real
Mysterious Stone Grants Unlimited Energy,A viral article claims that miracle herb cures all diseases overnight and that authorities are hiding this information from the public.,SecretWorldReport,fake
Mysterious Stone Grants Unlimited Energy,A viral article claims that viral video claims teleportation device discovered and that authorities are hiding this information from the public.,ViralNewsHub,fake
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that mysterious stone grants unlimited energy and that authorities are hiding this information from the public.,ViralNewsHub,fake
Government Announces New Healthcare Policy,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,The Hindu,real
Scientists Confirm Humans Can Live Without Sleep,A viral article claims that viral video claims teleportation device discovered and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Technology Company Unveils Ai Research Initiative,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,Al Jazeera,real
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the government announces new healthcare policy will impact communities and improve public services according to experts.,Economic Times,real
Secret Government Machine Controls Earthquakes,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,Unknown Blog,fake
Scientists Confirm Humans Can Live Without Sleep,A viral article claims that magic oil makes humans live for 200 years and that authorities are hiding this information from the public.,ViralNewsHub,fake
Viral Video Claims Teleportation Device Discovered,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,TruthRevealed,fake
Scientists Confirm Humans Can Live Without Sleep,A viral article claims that miracle herb cures all diseases overnight and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Scientists Discover New Exoplanet,A detailed report explains how the scientists discover new exoplanet will impact communities and improve public services according to experts.,Al Jazeera,real
Environment Report Warns About Climate Change,A detailed report explains how the scientists discover new exoplanet will impact communities and improve public services according to experts.,Reuters,real
Ancient Fruit Can Regrow Human Organs,A viral article claims that magic oil makes humans live for 200 years and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Researchers Publish Medical Study,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,Al Jazeera,real
Environment Report Warns About Climate Change,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,Associated Press,real
Magic Oil Makes Humans Live For 200 Years,A viral article claims that secret government machine controls earthquakes and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Miracle Herb Cures All Diseases Overnight,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,SecretWorldReport,fake
Researchers Publish Medical Study,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,Economic Times,real
Doctors Hate This One Plant Because It Cures Everything,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,Unknown Blog,fake
Doctors Hate This One Plant Because It Cures Everything,A viral article claims that secret government machine controls earthquakes and that authorities are hiding this information from the public.,ViralNewsHub,fake
Central Bank Updates Interest Rates,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,Associated Press,real
Education Ministry Releases New Guidelines,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,Associated Press,real
Doctors Hate This One Plant Because It Cures Everything,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,SecretWorldReport,fake
Miracle Herb Cures All Diseases Overnight,A viral article claims that secret government machine controls earthquakes and that authorities are hiding this information from the public.,SecretWorldReport,fake
City Launches Smart Traffic System,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,The Hindu,real
Scientists Confirm Humans Can Live Without Sleep,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,SecretWorldReport,fake
Secret Government Machine Controls Earthquakes,A viral article claims that secret government machine controls earthquakes and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Aliens Secretly Met World Leaders,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,ViralNewsHub,fake
Scientists Discover New Exoplanet,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,BBC,real
Magic Oil Makes Humans Live For 200 Years,A viral article claims that magic oil makes humans live for 200 years and that authorities are hiding this information from the public.,ViralNewsHub,fake
Researchers Publish Medical Study,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,BBC,real
New Railway Project Launched,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,BBC,real
Mysterious Stone Grants Unlimited Energy,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,TruthRevealed,fake
Environment Report Warns About Climate Change,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,Reuters,real
Aliens Secretly Met World Leaders,A viral article claims that miracle herb cures all diseases overnight and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Education Ministry Releases New Guidelines,A detailed report explains how the scientists discover new exoplanet will impact communities and improve public services according to experts.,Reuters,real
Researchers Publish Medical Study,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,NDTV,real
New Railway Project Launched,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,Al Jazeera,real
City Launches Smart Traffic System,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,Associated Press,real
City Launches Smart Traffic System,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,Al Jazeera,real
Mysterious Stone Grants Unlimited Energy,A viral article claims that miracle herb cures all diseases overnight and that authorities are hiding this information from the public.,SecretWorldReport,fake
Miracle Herb Cures All Diseases Overnight,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,SecretWorldReport,fake
Mysterious Stone Grants Unlimited Energy,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,TruthRevealed,fake
City Launches Smart Traffic System,A detailed report explains how the government announces new healthcare policy will impact communities and improve public services according to experts.,Al Jazeera,real
Miracle Herb Cures All Diseases Overnight,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,Unknown Blog,fake
Scientists Discover New Exoplanet,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,Associated Press,real
Secret Government Machine Controls Earthquakes,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,TruthRevealed,fake
Secret Government Machine Controls Earthquakes,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,TruthRevealed,fake
Researchers Publish Medical Study,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,The Hindu,real
Central Bank Updates Interest Rates,A detailed report explains how the central bank updates interest rates will impact communities and improve public services according to experts.,The Hindu,real
Ancient Fruit Can Regrow Human Organs,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Central Bank Updates Interest Rates,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,Associated Press,real
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,Reuters,real
Ancient Fruit Can Regrow Human Organs,A viral article claims that magic oil makes humans live for 200 years and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Scientists Discover New Exoplanet,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,The Hindu,real
Government Announces New Healthcare Policy,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,Economic Times,real
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,TruthRevealed,fake
Central Bank Updates Interest Rates,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,Associated Press,real
Government Announces New Healthcare Policy,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,Reuters,real
Ancient Fruit Can Regrow Human Organs,A viral article claims that magic oil makes humans live for 200 years and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Ancient Fruit Can Regrow Human Organs,A viral article claims that secret government machine controls earthquakes and that authorities are hiding this information from the public.,ViralNewsHub,fake
Miracle Herb Cures All Diseases Overnight,A viral article claims that ancient fruit can regrow human organs and that authorities are hiding this information from the public.,SecretWorldReport,fake
Technology Company Unveils Ai Research Initiative,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,BBC,real
Aliens Secretly Met World Leaders,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
City Launches Smart Traffic System,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,The Hindu,real
Viral Video Claims Teleportation Device Discovered,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that mysterious stone grants unlimited energy and that authorities are hiding this information from the public.,ViralNewsHub,fake
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the researchers publish medical study will impact communities and improve public services according to experts.,Economic Times,real
Education Ministry Releases New Guidelines,A detailed report explains how the government announces new healthcare policy will impact communities and improve public services according to experts.,NDTV,real
Government Announces New Healthcare Policy,A detailed report explains how the researchers publish medical study will impact communities and improve public services according to experts.,Al Jazeera,real
Government Announces New Healthcare Policy,A detailed report explains how the researchers publish medical study will impact communities and improve public services according to experts.,Reuters,real
Doctors Hate This One Plant Because It Cures Everything,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,SecretWorldReport,fake
Central Bank Updates Interest Rates,A detailed report explains how the government announces new healthcare policy will impact communities and improve public services according to experts.,NDTV,real
Researchers Publish Medical Study,A detailed report explains how the researchers publish medical study will impact communities and improve public services according to experts.,BBC,real
Mysterious Stone Grants Unlimited Energy,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,ViralNewsHub,fake
New Railway Project Launched,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,The Hindu,real
Mysterious Stone Grants Unlimited Energy,A viral article claims that viral video claims teleportation device discovered and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Education Ministry Releases New Guidelines,A detailed report explains how the researchers publish medical study will impact communities and improve public services according to experts.,Reuters,real
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,SecretWorldReport,fake
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,Unknown Blog,fake
Environment Report Warns About Climate Change,A detailed report explains how the researchers publish medical study will impact communities and improve public services according to experts.,NDTV,real
Secret Government Machine Controls Earthquakes,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Mysterious Stone Grants Unlimited Energy,A viral article claims that miracle herb cures all diseases overnight and that authorities are hiding this information from the public.,ViralNewsHub,fake
New Railway Project Launched,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,BBC,real
Miracle Herb Cures All Diseases Overnight,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,ViralNewsHub,fake
Environment Report Warns About Climate Change,A detailed report explains how the government announces new healthcare policy will impact communities and improve public services according to experts.,Reuters,real
Viral Video Claims Teleportation Device Discovered,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Scientists Discover New Exoplanet,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,Associated Press,real
New Railway Project Launched,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,Economic Times,real
Aliens Secretly Met World Leaders,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,SecretWorldReport,fake
Environment Report Warns About Climate Change,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,NDTV,real
Magic Oil Makes Humans Live For 200 Years,A viral article claims that viral video claims teleportation device discovered and that authorities are hiding this information from the public.,HealthSecretsDaily,fake
Mysterious Stone Grants Unlimited Energy,A viral article claims that secret government machine controls earthquakes and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,ViralNewsHub,fake
New Railway Project Launched,A detailed report explains how the city launches smart traffic system will impact communities and improve public services according to experts.,Al Jazeera,real
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,ViralNewsHub,fake
Central Bank Updates Interest Rates,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,Reuters,real
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that aliens secretly met world leaders and that authorities are hiding this information from the public.,SecretWorldReport,fake
Magic Oil Makes Humans Live For 200 Years,A viral article claims that viral video claims teleportation device discovered and that authorities are hiding this information from the public.,ViralNewsHub,fake
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,Al Jazeera,real
Education Ministry Releases New Guidelines,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,Reuters,real
Secret Government Machine Controls Earthquakes,A viral article claims that secret government machine controls earthquakes and that authorities are hiding this information from the public.,ViralNewsHub,fake
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,Al Jazeera,real
Viral Video Claims Teleportation Device Discovered,A viral article claims that hidden cure for cancer discovered in remote forest and that authorities are hiding this information from the public.,ViralNewsHub,fake
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,NDTV,real
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the central bank updates interest rates will impact communities and improve public services according to experts.,BBC,real
Viral Video Claims Teleportation Device Discovered,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,SecretWorldReport,fake
Environment Report Warns About Climate Change,A detailed report explains how the central bank updates interest rates will impact communities and improve public services according to experts.,The Hindu,real
Secret Government Machine Controls Earthquakes,A viral article claims that miracle herb cures all diseases overnight and that authorities are hiding this information from the public.,TruthRevealed,fake
Technology Company Unveils Ai Research Initiative,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,Reuters,real
New Railway Project Launched,A detailed report explains how the agriculture ministry announces farmer support program will impact communities and improve public services according to experts.,BBC,real
Secret Government Machine Controls Earthquakes,A viral article claims that doctors hate this one plant because it cures everything and that authorities are hiding this information from the public.,SecretWorldReport,fake
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the scientists discover new exoplanet will impact communities and improve public services according to experts.,NDTV,real
Miracle Herb Cures All Diseases Overnight,A viral article claims that viral video claims teleportation device discovered and that authorities are hiding this information from the public.,ViralNewsHub,fake
Scientists Discover New Exoplanet,A detailed report explains how the researchers publish medical study will impact communities and improve public services according to experts.,Associated Press,real
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,The Hindu,real
Mysterious Stone Grants Unlimited Energy,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,ViralNewsHub,fake
Miracle Herb Cures All Diseases Overnight,A viral article claims that mysterious stone grants unlimited energy and that authorities are hiding this information from the public.,TruthRevealed,fake
Government Announces New Healthcare Policy,A detailed report explains how the new railway project launched will impact communities and improve public services according to experts.,Economic Times,real
Education Ministry Releases New Guidelines,A detailed report explains how the environment report warns about climate change will impact communities and improve public services according to experts.,Economic Times,real
Agriculture Ministry Announces Farmer Support Program,A detailed report explains how the education ministry releases new guidelines will impact communities and improve public services according to experts.,Economic Times,real
Ancient Fruit Can Regrow Human Organs,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,SecretWorldReport,fake
Environment Report Warns About Climate Change,A detailed report explains how the central bank updates interest rates will impact communities and improve public services according to experts.,Al Jazeera,real
Education Ministry Releases New Guidelines,A detailed report explains how the technology company unveils AI research initiative will impact communities and improve public services according to experts.,The Hindu,real
Doctors Hate This One Plant Because It Cures Everything,A viral article claims that magic oil makes humans live for 200 years and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Mysterious Stone Grants Unlimited Energy,A viral article claims that viral video claims teleportation device discovered and that authorities are hiding this information from the public.,SecretWorldReport,fake
Doctors Hate This One Plant Because It Cures Everything,A viral article claims that ancient fruit can regrow human organs and that authorities are hiding this information from the public.,GlobalTruthDaily,fake
Hidden Cure For Cancer Discovered In Remote Forest,A viral article claims that scientists confirm humans can live without sleep and that authorities are hiding this information from the public.,TruthRevealed,fake
